Scheduled_Date,Day,Time_UTC,Platform,Content_Type,Episode,Title,Copy,Tags,Media_Path,CTA
2026-09-13,Sunday,08:00,YouTube,Long-Form Video (16:9 4K),Episode 1,Episode 1: You Don't Need Another Islamic Video — You Need the Qur'an,"Full video essay exploring Surah Muhammad 47:24 and the journey back to divine guidance. Join us for an unhurried, authentic reflection.

Watch here: https://youtube.com/@HuursStudio

Download the companion guide via link in description.",#ComeBackToQuran #HuursStudio #Tadabbur #QuranReflection,10_VIDEO/QURAN-COMEBACK-VIDEO-001.md,Watch the full episode on YouTube
2026-09-14,Monday,12:00,YouTube Shorts / Reels / TikTok,Vertical Video (9:16),Episode 1,Short 1.1: The Problem We Ignore,"Why do we spend hours listening to people talk ABOUT Allah, but never sit down to listen to Allah Himself? You Don't Need Another Islamic Video — You Need the Qur'an. #Shorts",#Shorts #Reels #TikTok #QuranReminder #SpiritualAwakening,08_SCRIPTS/QURAN-COMEBACK-SHORTS-001.md#Scene-1,Follow @HuursStudio for daily reflection
2026-09-15,Tuesday,12:00,YouTube Shorts / Reels / TikTok,Vertical Video (9:16),Episode 1,Short 1.2: The Ayah (Surah Muhammad 47:24),Listen to this verse with an open heart. Surah Muhammad 47:24. What is Allah asking of you right now?,#QuranAyah #DailyQuran #Tadabbur #HuursStudio,08_SCRIPTS/QURAN-COMEBACK-SHORTS-001.md#Scene-2,Save this verse for your evening prayer
2026-09-15,Tuesday,15:00,WhatsApp Status / Telegram Channel,Reflection Card & Supplication,Episode 1,Daily Card: Surah Muhammad 47:24,"🌿 *Huurs Daily Contemplation — Episode 1*

""Surah Muhammad 47:24""

Pause for 60 seconds before scrolling further. Speak to Allah in your own words today.",#DailyReflection,14_SOCIAL/QURAN-COMEBACK-SOCIAL-001.md#WhatsApp,Share with family and friends
2026-09-16,Wednesday,12:00,YouTube Shorts / Reels / TikTok,Vertical Video (9:16),Episode 1,Short 1.3: The Action Step,Don't change everything overnight. Just commit 5 minutes tonight to Surah Muhammad 47:24. Here's the exact micro-routine.,#QuranHabit #ProductiveMuslim #Consistency,08_SCRIPTS/QURAN-COMEBACK-SHORTS-001.md#Scene-3,Try this 5-minute action tonight
2026-09-16,Wednesday,16:00,Instagram,10-Slide Educational Carousel,Episode 1,Instagram Carousel: You Don't Need Another Islamic Video — You Need the Qur'an,"We don't lack reminders. We lack five quiet minutes with the words of our Lord.

If you’ve been feeling distant, tired, or spiritually dry, don’t wait until you “fix your life” before opening the Qur'an. The Qur'an is where the healing begins.

Tonight, take the 5-Minute Return challenge:
1. Turn off your screen.
2. Read Surah Al-Baqarah, verse 186.
3. Make one sincere, private dua.

Save this for tonight, and share it with someone who needs to hear this.

#ComeBackToQuran #Tadabbur #QuranReflection #SpiritualRenewal #HuursStudio #ReadReflectReturn",#ComeBackToQuran #Tadabbur #QuranReflection #SpiritualRenewal #HuursStudio,14_SOCIAL/renders/carousel_001/,Save this post and swipe through
2026-09-17,Thursday,12:00,YouTube Shorts / Reels / TikTok,Vertical Video (9:16),Episode 1,Short 1.4: The Diagnostic Question,An honest question for your soul today: When was the last time the Qur'an made you pause and weep in relief? You Don't Need Another Islamic Video — You Need the Qur'an.,#DeepQuestion #HeartAudit #FaithReflection,08_SCRIPTS/QURAN-COMEBACK-SHORTS-001.md#Scene-4,Comment your thoughts below
2026-09-17,Thursday,17:00,Email / Substack Newsletter,Contemplation Essay & Weekly Check-in,Episode 1,Weekly Contemplation: You Don't Need Another Islamic Video — You Need the Qur'an,"Weekly broadcast dropping the complete pedagogical context of Surah Muhammad 47:24, classical tafsir insights from Ibn Kathir, and guided journal prompts.",#Newsletter #EmailBroadcast,15_MARKETING/QURAN-COMEBACK-EMAIL-SERIES-001.md,Read the full newsletter essay
2026-09-18,Friday,07:00,YouTube Shorts / Reels / TikTok,Vertical Video (9:16),Episode 1,Short 1.5: Jummah Mindset Shift,"Jummah Mubarak. As you prepare for prayer, remember: Surah Muhammad 47:24. A mind that rushes through life misses the peace of the Qur'an.",#JummahMubarak #FridayReflection #Tartil,08_SCRIPTS/QURAN-COMEBACK-SHORTS-001.md#Scene-5,Read Surah Al-Kahf with presence today
2026-09-18,Friday,10:00,Twitter / X,10-Post Contemplative Thread,Episode 1,X Thread: You Don't Need Another Islamic Video — You Need the Qur'an,1/10 Most Muslims think they need another motivational lecture. But here is why the Qur'an is the only thing that actually cures the restless heart: A thread on Surah Muhammad 47:24. 🧵,#Quran #Islam #Tadabbur #Wisdom,14_SOCIAL/QURAN-COMEBACK-SOCIAL-001.md#Twitter,Retweet the thread to share guidance
2026-09-19,Saturday,09:00,Spotify / Apple Podcasts / Web,Spoken Reflection Audio (Meditation / Podcast),Episode 1,Spoken Reflection: You Don't Need Another Islamic Video — You Need the Qur'an,"Unhurried 6-minute spoken reflection over natural morning acoustic atmosphere (zero music). Designed for morning walks, quiet commutes, or evening reflection. You Don't Need Another Islamic Video — You Need the Qur'an.",#IslamicPodcast #CalmReflection #MorningRoutine,11_AUDIO/QURAN-COMEBACK-AUDIO-001.md,Listen on Spotify or Apple Podcasts
2026-09-20,Sunday,08:00,YouTube,Long-Form Video (16:9 4K),Episode 2,Episode 2: What Is the Qur'an Actually For?,"Full video essay exploring Surah Al-Baqarah 2:2 and the journey back to divine guidance. Join us for an unhurried, authentic reflection.

Watch here: https://youtube.com/@HuursStudio

Download the companion guide via link in description.",#ComeBackToQuran #HuursStudio #Tadabbur #QuranReflection,10_VIDEO/QURAN-COMEBACK-VIDEO-002.md,Watch the full episode on YouTube
2026-09-21,Monday,12:00,YouTube Shorts / Reels / TikTok,Vertical Video (9:16),Episode 2,Short 2.1: The Problem We Ignore,"Why do we spend hours listening to people talk ABOUT Allah, but never sit down to listen to Allah Himself? What Is the Qur'an Actually For?. #Shorts",#Shorts #Reels #TikTok #QuranReminder #SpiritualAwakening,08_SCRIPTS/QURAN-COMEBACK-SHORTS-002.md#Scene-1,Follow @HuursStudio for daily reflection
2026-09-22,Tuesday,12:00,YouTube Shorts / Reels / TikTok,Vertical Video (9:16),Episode 2,Short 2.2: The Ayah (Surah Al-Baqarah 2:2),Listen to this verse with an open heart. Surah Al-Baqarah 2:2. What is Allah asking of you right now?,#QuranAyah #DailyQuran #Tadabbur #HuursStudio,08_SCRIPTS/QURAN-COMEBACK-SHORTS-002.md#Scene-2,Save this verse for your evening prayer
2026-09-22,Tuesday,15:00,WhatsApp Status / Telegram Channel,Reflection Card & Supplication,Episode 2,Daily Card: Surah Al-Baqarah 2:2,"🌿 *Huurs Daily Contemplation — Episode 2*

""Surah Al-Baqarah 2:2""

Pause for 60 seconds before scrolling further. Speak to Allah in your own words today.",#DailyReflection,14_SOCIAL/QURAN-COMEBACK-SOCIAL-002.md#WhatsApp,Share with family and friends
