Date,Time,Platform,Post_UID,Text,Media_Path
2026-10-18,08:00,YouTube,EP06-SUN-YOUTUBE-LONG-FORM-056,"Full video essay exploring Surah Al-Fatihah 1:6–7 and the journey back to divine guidance. Join us for an unhurried, authentic reflection.

Watch here: https://youtube.com/@HuursStudio

Download the companion guide via link in description.

#ComeBackToQuran #HuursStudio #Tadabbur #QuranReflection",/mnt/AI/ag/Campaign/10_VIDEO/QURAN-COMEBACK-VIDEO-006.md | /mnt/AI/ag/Campaign/09_IMAGE/QURAN-COMEBACK-PATH-006.jpg
2026-10-19,12:00,YouTube Shorts / Reels / TikTok,EP06-MON-YOUTUBE-VERTICAL-057,"Why do we spend hours listening to people talk ABOUT Allah, but never sit down to listen to Allah Himself? The Most Important Dua You Say Every Day. #Shorts

#Shorts #Reels #TikTok #QuranReminder #SpiritualAwakening",/mnt/AI/ag/Campaign/08_SCRIPTS/QURAN-COMEBACK-SHORTS-006.md
2026-10-20,12:00,YouTube Shorts / Reels / TikTok,EP06-TUE-YOUTUBE-VERTICAL-058,"Listen to this verse with an open heart. Surah Al-Fatihah 1:6–7. What is Allah asking of you right now?

#QuranAyah #DailyQuran #Tadabbur #HuursStudio",/mnt/AI/ag/Campaign/08_SCRIPTS/QURAN-COMEBACK-SHORTS-006.md
2026-10-20,15:00,WhatsApp Status / Telegram Channel,EP06-TUE-WHATSAPP-REFLECTION-059,"🌿 *Huurs Daily Contemplation — Episode 6*

""Surah Al-Fatihah 1:6–7""

Pause for 60 seconds before scrolling further. Speak to Allah in your own words today.

#DailyReflection",/mnt/AI/ag/Campaign/14_SOCIAL/renders/whatsapp_card_006.png
2026-10-21,12:00,YouTube Shorts / Reels / TikTok,EP06-WED-YOUTUBE-VERTICAL-060,"Don't change everything overnight. Just commit 5 minutes tonight to Surah Al-Fatihah 1:6–7. Here's the exact micro-routine.

#QuranHabit #ProductiveMuslim #Consistency",/mnt/AI/ag/Campaign/08_SCRIPTS/QURAN-COMEBACK-SHORTS-006.md
2026-10-21,16:00,Instagram,EP06-WED-INSTAGRAM-10-SLIDE-061,"Come back to the Qur'an with Episode 6: The Most Important Dua You Say Every Day. Focus on Surah Al-Fatihah 1:6–7. Read it. Understand it. Live it.

#ComeBackToQuran #Tadabbur #QuranReflection #SpiritualRenewal #HuursStudio",/mnt/AI/ag/Campaign/14_SOCIAL/renders/carousel_006
2026-10-22,12:00,YouTube Shorts / Reels / TikTok,EP06-THU-YOUTUBE-VERTICAL-062,"An honest question for your soul today: When was the last time the Qur'an made you pause and weep in relief? The Most Important Dua You Say Every Day.

#DeepQuestion #HeartAudit #FaithReflection",/mnt/AI/ag/Campaign/08_SCRIPTS/QURAN-COMEBACK-SHORTS-006.md
2026-10-22,17:00,Email / Substack Newsletter,EP06-THU-EMAIL-CONTEMPLATION-063,"Weekly broadcast dropping the complete pedagogical context of Surah Al-Fatihah 1:6–7, classical tafsir insights from Ibn Kathir, and guided journal prompts.

#Newsletter #EmailBroadcast",/mnt/AI/ag/Campaign/15_MARKETING/QURAN-COMEBACK-EMAIL-SERIES-001.md
2026-10-23,07:00,YouTube Shorts / Reels / TikTok,EP06-FRI-YOUTUBE-VERTICAL-064,"Jummah Mubarak. As you prepare for prayer, remember: Surah Al-Fatihah 1:6–7. A mind that rushes through life misses the peace of the Qur'an.

#JummahMubarak #FridayReflection #Tartil",/mnt/AI/ag/Campaign/08_SCRIPTS/QURAN-COMEBACK-SHORTS-006.md
2026-10-23,10:00,Twitter / X,EP06-FRI-TWITTER-10-POST-065,"1/10 Most Muslims think they need another motivational lecture. But here is why the Qur'an is the only thing that actually cures the restless heart: A thread on Surah Al-Fatihah 1:6–7. 🧵

#Quran #Islam #Tadabbur #Wisdom",/mnt/AI/ag/Campaign/14_SOCIAL/QURAN-COMEBACK-SOCIAL-006.md
2026-10-24,09:00,Spotify / Apple Podcasts / Web,EP06-SAT-SPOTIFY-SPOKEN-066,"Unhurried 6-minute spoken reflection over natural morning acoustic atmosphere (zero music). Designed for morning walks, quiet commutes, or evening reflection. The Most Important Dua You Say Every Day.

#IslamicPodcast #CalmReflection #MorningRoutine",/mnt/AI/ag/Campaign/11_AUDIO/QURAN-COMEBACK-AUDIO-006.md
